Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.1
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,497.741431256813
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.224
Afghanistan,AFG,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,42.642
Afghanistan,AFG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.016
Albania,ALB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.3
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5396.2142432843
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.466
Albania,ALB,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,25.824
Albania,ALB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.11
Algeria,DZA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,2.5
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4530.10174483631
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.285
Algeria,DZA,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,20.142
Algeria,DZA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.61
American Samoa,ASM,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13672.576657298
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
American Samoa,ASM,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..
American Samoa,ASM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..
Andorra,AND,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,41328.6004978373
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Andorra,AND,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS,..
Andorra,AND,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.05
